,Provider,city,date,offset,Air Temperature,Max Air Temp,Min Air Temp,Precipitation
0,accuweather,berlin,2015-06-26 00:00:00,4,,6.23333333333,3.41111111111,-0.11
0,accuweather,berlin,2015-06-26 00:00:00,5,,5.67777777778,2.3,-0.17
0,accuweather,berlin,2015-06-26 00:00:00,6,,5.12222222222,1.74444444444,-0.71
0,openweathermap,berlin,2015-06-26 00:00:00,0,-1.98,2.82,-0.86,-0.4
0,openweathermap,berlin,2015-06-26 00:00:00,1,1.35,5.05,-1.35,-0.22
0,openweathermap,berlin,2015-06-26 00:00:00,2,-0.52,4.28,-1.72,-1.44
0,openweathermap,berlin,2015-06-26 00:00:00,3,-0.27,2.68,-1.63,-1.51
0,openweathermap,berlin,2015-06-26 00:00:00,4,2.36,7.16,3.93,-1.23
0,openweathermap,berlin,2015-06-26 00:00:00,5,0.14,4.94,1.01,-0.54
0,openweathermap,berlin,2015-06-26 00:00:00,6,-3.6,1.2,-0.94,-0.48
0,weatherdotcom,berlin,2015-06-26 00:00:00,0,4.1,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,1,-4.9,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,2,-3.9,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,3,-6.9,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,4,-6.9,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,5,-8.9,,,
0,weatherdotcom,berlin,2015-06-26 00:00:00,6,-13.9,,,
0,accuweather,hamburg,2015-06-21 00:00:00,0,,0.766666666667,0.0111111111111,7.45
0,accuweather,hamburg,2015-06-21 00:00:00,1,,1.32222222222,1.67777777778,7.52
0,accuweather,hamburg,2015-06-21 00:00:00,2,,1.87777777778,1.12222222222,7.57
0,accuweather,hamburg,2015-06-21 00:00:00,3,,3.54444444444,0.0111111111111,7.57
0,accuweather,hamburg,2015-06-21 00:00:00,4,,3.54444444444,0.0111111111111,7.49
0,accuweather,hamburg,2015-06-21 00:00:00,5,,2.98888888889,-0.544444444444,7.58
0,accuweather,hamburg,2015-06-21 00:00:00,6,,1.32222222222,-0.544444444444,7.15
0,openweathermap,hamburg,2015-06-21 00:00:00,0,-1.95,2.95,-0.98,2.33
0,openweathermap,hamburg,2015-06-21 00:00:00,1,-2.38,2.52,-0.27,6.36
0,openweathermap,hamburg,2015-06-21 00:00:00,2,-1.09,3.28,0.3,7.6
0,openweathermap,hamburg,2015-06-21 00:00:00,3,-1.27,3.3,-2.62,7.6
0,openweathermap,hamburg,2015-06-21 00:00:00,4,-1.27,2.78,-3.84,2.02
0,openweathermap,hamburg,2015-06-21 00:00:00,5,-0.7,4.2,-2.96,3.51
0,openweathermap,hamburg,2015-06-21 00:00:00,6,-0.42,4.48,-3.28,1.93
0,weatherdotcom,hamburg,2015-06-21 00:00:00,0,6.2,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,1,-4.8,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,2,-2.8,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,3,-3.8,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,4,0.2,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,5,-2.8,,,
0,weatherdotcom,hamburg,2015-06-21 00:00:00,6,-7.8,,,
0,accuweather,hamburg,2015-06-22 00:00:00,0,,-1.46666666667,1.56666666667,6.89
0,accuweather,hamburg,2015-06-22 00:00:00,1,,-3.13333333333,1.01111111111,6.97
0,accuweather,hamburg,2015-06-22 00:00:00,2,,-3.13333333333,1.01111111111,6.9
0,accuweather,hamburg,2015-06-22 00:00:00,3,,-2.02222222222,2.12222222222,7.04
0,accuweather,hamburg,2015-06-22 00:00:00,4,,-1.46666666667,1.01111111111,7.03
0,accuweather,hamburg,2015-06-22 00:00:00,5,,-0.355555555556,1.01111111111,7.11
0,accuweather,hamburg,2015-06-22 00:00:00,6,,-0.355555555556,0.455555555556,7.2
0,openweathermap,hamburg,2015-06-22 00:00:00,0,-4.56,-1.16,-1.84,1.01
0,openweathermap,hamburg,2015-06-22 00:00:00,1,-3.67,-0.75,-1.7,6.41
0,openweathermap,hamburg,2015-06-22 00:00:00,2,-3.67,-0.79,1.88,7.2
0,openweathermap,hamburg,2015-06-22 00:00:00,3,-3.97,-2.67,-1.44,3.22
0,openweathermap,hamburg,2015-06-22 00:00:00,4,-8.22,-4.82,-2.15,6.03
0,openweathermap,hamburg,2015-06-22 00:00:00,5,-8.22,-4.82,-2.15,6.03
0,openweathermap,hamburg,2015-06-22 00:00:00,6,-4.37,-0.97,-0.75,6.41
0,weatherdotcom,hamburg,2015-06-22 00:00:00,0,-0.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,1,-4.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,2,-6.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,3,-3.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,4,-8.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,5,-8.2,,,
0,weatherdotcom,hamburg,2015-06-22 00:00:00,6,-7.2,,,
0,accuweather,hamburg,2015-06-23 00:00:00,0,,0.377777777778,0.655555555556,-0.02
0,accuweather,hamburg,2015-06-23 00:00:00,1,,0.933333333333,1.76666666667,0.0
0,accuweather,hamburg,2015-06-23 00:00:00,2,,0.933333333333,2.32222222222,-0.03
0,accuweather,hamburg,2015-06-23 00:00:00,3,,-0.733333333333,1.21111111111,-0.06
0,accuweather,hamburg,2015-06-23 00:00:00,4,,-0.733333333333,1.21111111111,0.02
0,accuweather,hamburg,2015-06-23 00:00:00,5,,0.933333333333,1.21111111111,0.03
0,accuweather,hamburg,2015-06-23 00:00:00,6,,1.48888888889,1.21111111111,0.1
0,openweathermap,hamburg,2015-06-23 00:00:00,0,-1.08,3.12,-0.37,-9.62
0,openweathermap,hamburg,2015-06-23 00:00:00,1,-1.06,3.09,0.3,-10.28
0,openweathermap,hamburg,2015-06-23 00:00:00,2,0.24,3.55,0.39,-1.62
